FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
04JUL2022:21:28:38,06JAN1980:00:00:00,Masculino,Adopción Plena
26JUL2022:11:04:42,14FEB2003:00:00:00,Masculino,Adopción Plena
12JUL2022:14:26:36,25MAR2008:00:00:00,Femenino,Adopción Plena
07JUL2022:20:25:01,17MAR2015:00:00:00,Masculino,Adopción Plena
30AUG2022:11:31:59,14DEC2015:00:00:00,Femenino,Adopción Plena
20OCT2022:14:56:16,21JUL2013:00:00:00,Femenino,Adopción Plena
31AUG2022:11:58:12,09AUG2016:00:00:00,Femenino,Adopción Plena
11SEP2022:13:40:11,26AUG1990:00:00:00,Masculino,Adopción Simple
11JUL2022:13:43:22,07JAN2009:00:00:00,Femenino,Adopción Plena
08NOV2022:11:25:56,28AUG1971:00:00:00,Masculino,Adopción Plena
26OCT2022:13:48:52,24JAN1999:00:00:00,Femenino,Adopción Plena
08NOV2022:14:16:44,24MAR2010:00:00:00,Masculino,Adopción Plena
12JUL2022:14:00:34,23FEB2014:00:00:00,Femenino,Adopción Plena
11SEP2022:13:29:25,18JUN2019:00:00:00,Masculino,Adopción Plena
24AUG2022:22:11:07,01FEB1990:00:00:00,Masculino,Adopción Plena
31OCT2022:15:21:07,14APR2011:00:00:00,Femenino,Adopción Plena
03OCT2022:16:03:50,09MAR2017:00:00:00,Masculino,Adopción Plena
06OCT2022:14:38:52,27MAR2004:00:00:00,Masculino,Adopción Plena
09NOV2022:13:26:01,06OCT2002:00:00:00,Femenino,Adopción Plena
11AUG2022:11:23:20,20JAN2011:00:00:00,Masculino,Adopción Plena
07JUL2022:18:38:03,21JUN2010:00:00:00,Masculino,Adopción Plena
08JUL2022:08:07:12,21MAY2008:00:00:00,Femenino,Adopción Plena
20OCT2022:14:36:53,25SEP2009:00:00:00,Masculino,Adopción Plena
03OCT2022:15:28:09,21OCT2019:00:00:00,Masculino,Adopción Plena
13SEP2022:14:10:04,09OCT2015:00:00:00,Femenino,Adopción Plena
30JUN2022:12:16:18,12APR2001:00:00:00,Femenino,Adopción Plena
30AUG2022:13:15:57,10MAR2003:00:00:00,Masculino,Adopción Plena
13OCT2022:12:10:17,15JAN2020:00:00:00,Masculino,Adopción Plena
14SEP2022:17:44:45,30NOV2012:00:00:00,Masculino,Adopción Plena
17JUL2022:19:27:56,11JUL2006:00:00:00,Masculino,Adopción Simple
28SEP2022:18:25:13,16APR1982:00:00:00,Femenino,Adopción Simple
07JUL2022:19:38:59,01JAN2013:00:00:00,Femenino,Adopción Plena
29SEP2022:15:50:42,02JAN2010:00:00:00,Femenino,Adopción Plena
12AUG2022:12:09:42,20APR2016:00:00:00,Femenino,Adopción Plena
30JUN2022:12:03:12,24FEB1996:00:00:00,Femenino,Adopción Plena
04OCT2022:20:13:02,05FEB2012:00:00:00,Masculino,Adopción Plena
01JUL2022:12:33:22,26NOV2010:00:00:00,Masculino,Adopción Plena
12SEP2022:10:58:33,30JAN2019:00:00:00,Femenino,Adopción Plena
22SEP2022:12:21:58,05APR2008:00:00:00,Masculino,Adopción Plena
23SEP2022:17:28:26,01JAN2017:00:00:00,Femenino,Adopción Plena
08NOV2022:13:53:13,28AUG2013:00:00:00,Femenino,Adopción Plena
03NOV2022:11:51:40,31OCT2020:00:00:00,Femenino,Adopción Plena
01NOV2022:15:05:07,05FEB2019:00:00:00,Masculino,Adopción Plena
24OCT2022:13:00:52,29DEC2016:00:00:00,Masculino,Adopción Plena
04NOV2022:14:53:12,14OCT2012:00:00:00,Femenino,Adopción Plena
01NOV2022:14:53:57,14OCT1987:00:00:00,Masculino,Adopción Simple
07NOV2022:14:22:04,20MAR2010:00:00:00,Masculino,Adopción Simple
24OCT2022:12:48:08,01AUG2013:00:00:00,Masculino,Adopción Plena
01NOV2022:14:38:47,02DEC1988:00:00:00,Femenino,Adopción Simple
02NOV2022:13:16:56,15MAR2016:00:00:00,Masculino,Adopción Plena
